id,day,type,_number,prompt,options,correct_answer,answer,difficulty,active,created_at
550e8400-e29b-41d4-a716-446655440001,Day 1,scenario,1,"A user installs a new application but it does not open because the system reports insufficient memory. Based on fundamentals, explain whether this is a hardware or software issue and why.",,,"\nThis situation primarily relates to hardware resources, specifically RAM, but is influenced by software requirements.\n\nHardware such as RAM provides memory space for programs to execute. If the installed software requires more memory than available, the operating system cannot allocate sufficient space for execution.\n\nIn real systems, both hardware capacity and software requirements must align. Upgrading RAM or closing background applications can resolve it.\n\nExample: If a system has 4GB RAM and a design application needs 8GB, the program will fail to open properly.",easy,TRUE,2026-02-24 14:00:00
550e8400-e29b-41d4-a716-446655440002,Day 1,scenario,2,"A computer powers on but no operating system loads. From a fundamentals perspective, how would you analyze the role of hardware and software in this situation?",,,"\nWhen a computer powers on, hardware components like CPU, RAM, and storage initialize first.\n\nIf no operating system loads, the issue may be related to storage hardware failure or missing/corrupted system software.\n\nThe operating system resides on storage devices such as HDD or SSD. Without it, hardware cannot provide user interaction.\n\nExample: If the SSD containing Windows is removed, the system will power on but fail to boot into the OS.",easy,TRUE,2026-02-24 14:00:00
550e8400-e29b-41d4-a716-446655440003,Day 1,scenario,3,"An office wants multiple computers to share a printer and internet connection. Which fundamental concept enables this setup and how?",,,"\nThis setup is enabled by a network.\n\nA network connects multiple devices so they can exchange data and share resources like printers and internet access.\n\nUsing wired Ethernet or wireless Wi-Fi, devices communicate using protocols such as TCP/IP.\n\nExample: In a LAN, five computers connected to a router can all access the same printer and internet line.",easy,TRUE,2026-02-24 14:00:00
550e8400-e29b-41d4-a716-446655440004,Day 1,scenario,4,"A company installs Windows 11 on employee systems. Explain how the operating system manages hardware resources during daily usage.",,,"\nThe operating system acts as a bridge between applications and hardware.\n\nIt manages CPU scheduling by allocating processing time, controls memory allocation, handles storage through file systems, and manages connected devices.\n\nThis ensures multiple programs can run smoothly without conflict.\n\nExample: While using a browser and a document editor together, the OS distributes CPU time and memory between both applications.",medium,TRUE,2026-02-24 14:00:00
550e8400-e29b-41d4-a716-446655440005,Day 1,scenario,5,"A user accesses a website using a browser. Describe the complete client-server communication flow from request to response.",,,"\nThe browser acts as the client and sends an HTTP request to the server.\n\nThe request travels through routers across the Internet. The server receives it, processes backend logic, and generates a response such as HTML.\n\nThe response travels back through the network and the browser renders it for the user.\n\nExample: Typing a website URL in Chrome sends a request and displays the returned webpage.",medium,TRUE,2026-02-24 14:00:00
550e8400-e29b-41d4-a716-446655440006,Day 1,scenario,6,"During heavy internet usage, video streaming becomes slow. Using the road transportation analogy, explain what is happening.",,,"\nThe Internet works like a road system where data travels as packets.\n\nHeavy traffic means many data packets are moving simultaneously, causing congestion at routers which act like traffic junctions.\n\nThis congestion delays packet delivery, reducing streaming speed.\n\nExample: Just like traffic jams slow vehicles, high network usage slows video buffering.",medium,TRUE,2026-02-24 14:00:00
550e8400-e29b-41d4-a716-446655440007,Day 1,scenario,7,"An organization uses Ubuntu servers to handle thousands of client requests. How does the operating system support multitasking in this context?",,,"\nThe operating system manages multitasking by scheduling CPU time among multiple processes.\n\nIt allocates memory for each request and ensures isolation between processes for stability.\n\nThis allows the server to handle multiple client requests simultaneously without crashing.\n\nExample: A web server can respond to many browser requests at the same time because the OS schedules them efficiently.",hard,TRUE,2026-02-24 14:00:00
550e8400-e29b-41d4-a716-446655440008,Day 1,scenario,8,"If a device does not have a unique IP address on the Internet, what communication problems would occur?",,,"\nAn IP address uniquely identifies a device on the Internet.\n\nWithout it, routers cannot determine where to send response packets.\n\nCommunication would fail because the server would not know the correct destination.\n\nExample: Sending a parcel without a delivery address means it cannot reach the recipient.",hard,TRUE,2026-02-24 14:00:00
550e8400-e29b-41d4-a716-446655440009,Day 1,scenario,9,"A browser receives HTML, CSS, and JavaScript from a server. Explain how it transforms this data into a visible web page.",,,"\nThe browser acts as a client and interprets the received files.\n\nHTML defines structure, CSS defines styling, and JavaScript adds interactivity.\n\nThe rendering engine processes these components and visually displays the webpage.\n\nExample: After receiving data from a server, the browser converts code into buttons, text, and images on screen.",hard,TRUE,2026-02-24 14:00:00
550e8400-e29b-41d4-a716-446655440010,Day 1,scenario,10,"Differentiate between LAN and WAN in a real-world office expansion scenario.",,,"\nA LAN connects devices within a limited area such as one office building.\n\nA WAN connects networks across large geographical areas, such as multiple cities.\n\nOrganizations use LAN internally and WAN to connect branch offices.\n\nExample: Computers inside one Hyderabad office form a LAN, while connecting Hyderabad and Delhi offices uses WAN.",medium,TRUE,2026-02-24 14:00:00
550e8400-e29b-41d4-a716-446655440011,Day 1,interview,1,"Walk me through how hardware and software depend on each other in a computer system.",,,"\nHardware provides physical resources such as CPU, RAM, and storage.\n\nSoftware provides instructions that tell hardware what operations to perform.\n\nWithout hardware, software cannot execute. Without software, hardware cannot perform meaningful tasks.\n\nExample: A word processor runs using CPU and RAM to process and display text.",easy,TRUE,2026-02-24 14:00:00
