id,day,type,_number,prompt,options,correct_answer,answer,difficulty,active,created_at
3d2d4f9a-8c31-4b5a-9c0d-1a3f6c2b8e11,DAy-1,scenario,1,"A new app idea feels cool but unclear. How would you quickly check if it solves a real problem using a tech-builder mindset?","","","\nStart by naming one real-world friction the app removes.\n\nThen describe who faces the problem, when it happens, and what “”faster/easier”” looks like after the solution.\n\nIn product teams, this keeps development focused on impact instead of features.\n\nExample:\n“People waste time deciding food; the app helps them discover and order quickly.”",easy,TRUE,2026-02-25 17:45:00
a7f1f0b2-2f4a-4d0c-8d31-5f7f3a2c9b22,DAy-1,scenario,2,"You’re asked to explain how a food delivery app reduces friction for users. What points would you cover?","","","\nExplain the two core problems it solves: discovering options and getting reliable delivery.\n\nConnect the solution to speed and convenience: search, restaurant cards, menus, and delivery tracking.\n\nIn real products, friction reduction is the main reason users keep returning.\n\nExample:\n“Search restaurants, choose a dish, pay once, and get it delivered.”",easy,TRUE,2026-02-25 17:45:00
c9c8cdb7-1d0e-4f1b-ae6b-0b5b1a2c3d33,DAy-1,scenario,3,"A teammate says, “Technology is just coding.” How would you correct them using today’s concepts?","","","\nClarify that technology is structured problem-solving using tools and systems.\n\nIt includes identifying the problem, designing a solution, building a system that can grow, and improving it over time.\n\nIn companies, coding is one part, but problem definition and iteration drive success.\n\nExample:\n“Even before code, we define the problem and design how the app should work.”",easy,TRUE,2026-02-25 17:45:00
0b2b7f8d-6f3e-4c1a-9f3b-8f6a1d2c4e44,DAy-1,scenario,4,"A user searches “biryani” and gets results instantly. What high-level flow would you describe from UI to data?","","","\nStart with the frontend capturing the search input.\n\nThen the backend receives the request, looks up restaurant/menu data from storage, and returns matching results.\n\nFast responses matter in real apps because slow search increases drop-offs.\n\nExample:\n“UI sends search → backend fetches data → returns a ranked list to show.”",medium,TRUE,2026-02-25 17:45:00
5f5c1d3a-1d7a-4d1f-8f4e-2c9a7b8d5f55,DAy-1,scenario,5,"A user asks, “Where does the restaurant list come from?” How would you explain it using frontend vs backend roles?","","","\nExplain that the frontend displays the list as cards and UI elements.\n\nThe backend stores restaurant details like name, rating, menu, and availability and provides it through APIs.\n\nIn production, separating display and data keeps systems maintainable.\n\nExample:\n“Frontend shows cards; backend provides the restaurant data to render them.”",medium,TRUE,2026-02-25 17:45:00
f2a9d0c1-9a3d-4a2a-8d7c-6e1b2c3d4f66,DAy-1,scenario,6,"Your app needs “delivery near me.” Which technology concept from today helps here, and how?","","","\nUse GPS to understand the user’s location.\n\nThen the system can show nearby restaurants and help with delivery routing.\n\nLocation-based relevance improves user experience in real food apps.\n\nExample:\n“GPS gives location so the app can show restaurants around that area.”",medium,TRUE,2026-02-25 17:45:00
7a6e2b1c-3d4f-4b2a-9c8d-1e2f3a4b5c77,DAy-1,scenario,7,"A product manager wants “recommended restaurants” on the home screen. How would you describe what AI/ML is doing at a high level?","","","\nExplain that AI/ML looks at user behavior patterns like clicks, orders, and preferences.\n\nIt predicts what the user might like and suggests restaurants or dishes.\n\nIn apps, this improves discovery and increases engagement.\n\nExample:\n“If you often order dosa, the app may recommend similar breakfast places.”",medium,TRUE,2026-02-25 17:45:00
1c4f8a2d-6b3a-4f9c-8d21-9a8b7c6d5e88,DAy-1,scenario,8,"You notice users complain the app feels outdated over time. What “continuous improvement” approach would you propose based on today’s lesson?","","","\nTreat the app as something that improves continuously, not a one-time build.\n\nCollect feedback or usage signals, identify friction, and update features or recommendations.\n\nIn real companies, iteration keeps the product competitive.\n\nExample:\n“Track what users search but don’t order, then improve discovery and ranking.”",hard,TRUE,2026-02-25 17:45:00
9d3a7c2b-1f2e-4b6a-8c9d-3e4f5a6b7c99,DAy-1,scenario,9,"A teammate mixed up responsibilities and put business data inside the UI code only. How would you explain why separating layers helps scalability?","","","\nExplain that frontend should focus on displaying and collecting user actions.\n\nBackend should store and manage data so it can be reused by many screens and users.\n\nIn scalable systems, clean separation makes updates safer and faster.\n\nExample:\n“Changing restaurant availability should happen in backend data, not hardcoded UI.”",hard,TRUE,2026-02-25 17:45:00
2b6c8d1e-9f4a-4c3b-8a7d-0e1f2a3b4c10,DAy-1,scenario,10,"You’re asked to explain the full architecture of a food delivery app to a beginner using only today’s layers. How would you do it?","","","\nDescribe three layers: frontend, backend, and AI/ML.\n\nFrontend shows cards, filters, ratings, images, and search UI.\n\nBackend stores restaurants, menus, availability, and answers search requests.\n\nAI/ML learns from behavior to recommend and rank better.\n\nExample:\n“Frontend shows results, backend provides data, AI helps personalize suggestions.”",hard,TRUE,2026-02-25 17:45:00
